Sentence,Grammar mistakes,BLEU score,Meteor,Perplexity,Similarity to average training sentence
You have a deep appreciation of the arts will bring new opportunities.,0,1.0,0.8731871029605658,88.05845437331332,0.88398737
You will help someone out of a molehill.,0,6.130783336563573e-78,0.6722222222222223,71.54217005659855,0.8741228
Make up your mind and do what you have left when everything else gone.,0,9.170599044431425e-155,0.7889322070608621,112.09634166519,0.7816349
You will always have good luck and overcome any hardships.,0,4.661032518640916e-78,0.9861386138613862,97.51556730184265,0.8882145
In the country of the blind man is a failure who is enjoying life.,1,1.0092077133111818e-154,0.8565549676660789,91.11752321589488,0.797894
You have been selected for a promotion because of your extreme stupidity.,0,9.342086335797231e-155,0.815289256198347,97.71669002476182,0.9149582
Good common sense will help you advance professionally.,0,9.53091075863908e-155,0.7687074829931974,139.75435782081075,0.8672746
The wise man is better than none.,0,0.7071067811865475,0.7301587301587301,72.69795917836109,0.8051635
You will always be successful in competitive sports.,0,7.051402097550211e-78,0.9799382716049383,88.82683316925778,0.85256207
The wise man is better than cake tomorrow.,0,0.6104735835807844,0.7390260631001373,79.99351438160022,0.8081371
What is bred in the bone will not go out of the sack but what was in it.,1,3.826170841813515e-78,0.8710467251581309,100.87240044925731,0.8852517
Your anxieties are beginning to notice you.,0,8.534204031625306e-155,0.8294209702660407,123.68082986949301,0.863597
You shall soon be dispelled.,0,9.013778876140909e-155,0.7217391304347825,91.46935918303649,0.71957207
You pay your money and lose your friend.,0,1.7108904660496554e-231,0.8629377676996723,126.90736609505929,0.7500612
You will pass away quickly.,0,8.38826642100846e-155,0.8534621578099838,71.85374334803157,0.7632451
It is better to be merry than wise.,0,0.3814165616365676,0.6784188034188035,64.01877646135257,0.8146989
. You have a deep appreciation of the arts will bring new opportunities.,0,0.9365137582048804,0.8647910731244065,85.17883258464634,0.8981319
It costs nothing and is a pleasant place from which you draw happiness.,0,3.6799428630948515e-78,0.8192622950819671,111.68261907495125,0.91470903
the project on your mind will lead you to high places.,1,0.6204032394013997,0.8005344995140914,95.31642686597047,0.86627114
A fool may throw a stone in one's own coin.,0,7.15819034963064e-155,0.778186274509804,109.24957321140796,0.7944305
Your efforts will be well worth following.,0,8.15394372921771e-155,0.6281690140845071,116.28999572304565,0.8405136
If at first you do not walk alone.,1,1.646211035903463e-231,0.5913134484563056,86.33185928518382,0.66947985
A huge fortune at home is not as serious as it seems to the waiter.,0,8.207768061783113e-155,0.6947183098591551,120.54790868311393,0.8551389
Luck is on your doorstep.,0,6.206021746903507e-78,0.7217391304347825,90.80618809346532,0.73265284
If you take a single step take it.,1,9.53091075863908e-155,0.5679012345679012,70.14743515975775,0.7757254
The cooler you think you can do it.,1,6.130783336563573e-78,0.5208333333333334,62.824554375258245,0.76068425
Grant yourself a wish this year only you can do a thing or think you can't you've right.,2,3.8027756193382897e-78,0.7835223268627075,87.80519311844044,0.7841306
Courage is the mastery of fear - not the absence of fear it is the conquest of it.,1,7.677476567795425e-155,0.9641097818437719,92.69303482070636,0.8277488
Talent is not a matter of intelligence it's a matter of intelligence it's a matter of inspiration.,0,6.15282393569252e-155,0.8887898192429278,101.63673742305357,0.82132065
Your command of the language will open doors where there were once only walls.,0,8.071151852430623e-155,0.785141867013212,147.95049749871336,0.8689975
You will be successful in your professional career.,0,7.455949944914188e-78,0.9041027559546079,58.96897796017083,0.847413
Your talents will soon be ready to receive talent with open arms.,0,0.3349531889697646,0.7748538011695907,123.02061231247197,0.849131
The troubles you have will come true.,0,1.0148936155293581e-154,0.748263888888889,73.55382063789735,0.8957921
text A bad beginning makes a good husband.,1,5.929498746342409e-78,0.7270233196159123,inf,0.71900994
There is no greater pleasure than seeing your loved ones will be happy in your life together.,0,0.3491985989318536,0.8520267611176703,82.96146008407463,0.9017799
Persistence will lead to a new living environment.,0,9.53091075863908e-155,0.7270233196159123,102.88260302719483,0.86912745
Being happy is not always a foe.,0,1.1672934071334108e-154,0.703125,109.39891648009953,0.8628477
How can you have a purpose i to find a friend is to be renewed.,0,9.760736177364437e-155,0.7123655913978496,88.57192432483937,0.8590358
Your winsome smile will be your key to success.,0,8.14486865257726e-155,0.7602601480152501,83.39659046611223,0.8522889
Your experience will help a child in need.,0,9.905379076004965e-155,0.7471655328798186,111.47782569259606,0.86281943
Your mind is your greatest present need.,0,8.534204031625306e-155,0.843114241001565,111.03852603492834,0.8326073
A family reunion in the coming months will be a change in your life.,0,4.815944018779553e-78,0.7473484848484849,75.87043487451257,0.84159964
Do not seek so much to be feared as fear.,0,8.909555824566607e-155,0.7913056930693071,108.43242216918865,0.7978986
You have Egyptian flu you've going to settle for second that's what happens to you.,0,9.38754795235164e-155,0.7904761904761906,90.76909827012415,0.8602246
It is in the fire.,0,0.537284965911771,0.7217391304347825,39.05882206657162,0.76260823
The act of giving is more important than a passionate romance.,0,7.15819034963064e-155,0.8775114984265312,148.99319914504832,0.8316941
A picture is worth a pound of learning.,0,8.014508691042773e-155,0.7270233196159123,131.8099053170923,0.6988733
Financial success is on your side this month.,0,4.986094240050794e-78,0.8629377676996723,93.26700510361304,0.81365424
It is better to have loved at all.,0,0.5019724248795792,0.7812499999999999,53.75550927311102,0.8577869
Even the longest of days will come to you when you are doing the right things.,0,1.0429376094311985e-154,0.8952632669983417,94.66504812156587,0.9200626
Flattery will get you out of a stone.,0,6.130783336563573e-78,0.7682539682539684,75.69237153829351,0.8691166
Believe in yourself and others will respect you.,0,8.014508691042773e-155,0.8629377676996723,102.196623021707,0.8907578
A miss is as good as money in use.,0,1.7229823170315744e-231,0.738954922628392,128.19587717212218,0.72381973
You will remember something that you should take pains to develop.,0,8.512570894324454e-155,0.7957957957957958,111.63356610659987,0.8700115
You two ought to be extra successful now.,0,8.014508691042773e-155,0.7766439909297052,120.51128404387072,0.83398336
A good beginning makes a bad ending.,0,6.10669334877734e-78,0.864795918367347,90.15882880497988,0.7067805
A bad excuse is better than a good lawsuit.,0,0.392814650900513,0.8211575489862951,82.30683560098986,0.73889947
Now is a good decision.,0,1.0719249972567852e-154,0.5563218390804598,59.06499133415526,0.82377094
It is never too early.,0,9.013778876140909e-155,0.8066666666666668,76.97165107830591,0.77478635
All things come to him who knows how to wait.,0,0.7175852914772133,0.764691418736169,86.26676104034452,0.77050334
The world will soon be surrounded by luxury.,0,4.583829695130767e-78,0.8179012345679012,90.74735935703555,0.7223441
A friend's frown is better than it sounds.,0,4.715556789227057e-78,0.7602601480152501,113.54152790895738,0.7633572
Ask yourself if what you are compared with.,0,9.53091075863908e-155,0.5506172839506173,111.5350416096595,0.80025953
Today is the last day of your life it may occur.,1,9.740506563602454e-155,0.8063619174730285,84.8876809745846,0.8838388
Your home is a pleasant thing to do.,0,5.87583260478785e-78,0.5679012345679012,62.40113108347412,0.88021255
After your lover has gone you will still be amongst the stars.,1,7.310577634934788e-155,0.6605113636363635,160.64689987355914,0.8941312
Do not follow where the path may lead Go where there is no light Don't forget about light.,2,0.5309354663044072,0.7654462884054721,121.85433792767118,0.8325899
Darkness is only successful when there is no humor in Heaven.,0,0.5773502691896257,0.60888552952045,136.4510817681762,0.8006086
A newcomer in your life is sitting across from you.,0,0.8070557274927981,0.7265625,91.72885758825599,0.8408455
Action may not always bring happiness but there is a piece of truthful a piece.,2,0.5791460926441345,0.7820719269994634,122.83471815892966,0.9027916
A trip is in your near future.,0,9.696727898117387e-155,0.97441793618856,75.94087607819544,0.70804036
All is grist that comes to his net.,0,1.646211035903463e-231,0.8819444444444444,121.92184204916823,0.8553448
It is better to have a sweeter life.,0,0.5555238068023581,0.7812499999999999,52.692566361823935,0.88068235
Don't look now but there is no humor in Heaven.,1,0.6865890479690392,0.6153100775193798,105.77068791777762,0.80268085
All good things come to him who knows how to hold his tongue.,0,0.5691002880122693,0.8661468486029891,99.20649915105626,0.80548203
You will be married soon.,0,6.562069055463047e-78,0.7352941176470589,45.28087250782515,0.7279181
It is not good to be a pessimist and be proven right.,0,1.1223635839742729e-154,0.5868421052631579,84.27025627898094,0.8394264
Good sense is the master of your destiny is yourself.,0,9.487289885028994e-155,0.8335382345709367,90.00036261939975,0.8329051
Don't hate yourself in the morning shepherds warning.,0,9.013778876140909e-155,0.6726694915254237,109.5798932391458,0.78484154
You will take a mile.,0,1.133422688662942e-154,0.7014492753623188,51.824019108104864,0.78363764
You and your partner will be happy in your life that you need to listen to.,0,0.3708163623065084,0.8710743801652892,75.58711790641257,0.8754053
Action may not always bring happiness but there is no light Don't forget about light.,2,1.0,0.7331098653412703,120.9136543710432,0.8611168
. Your talents will soon be at a high.,0,0.4671379777282001,0.8722527472527472,108.34177968844409,0.82911867
Your wit will lead you to high places.,0,0.7506238537503395,0.7349537037037036,104.66340382371716,0.8438493
You will get the practical help you have been in Afghanistan I perceive.,1,1.1059743149853405e-154,0.9293241279069768,107.9153982425397,0.8790426
You will soon be solved.,0,7.262123179505913e-78,0.6384615384615385,55.87679374678477,0.75011027
The smart thing is to never stop questioning.,0,8.014508691042773e-155,0.8819444444444444,125.13214793957796,0.9079461
Take the chance while you still have to mow it.,0,7.49201355438059e-155,0.7425742574257427,107.46164508236394,0.8863514
Debt is the worst shod.,0,8.38826642100846e-155,0.8066666666666668,93.77544310822381,0.7438335
Change your thoughts and you change your major to biology?,0,1.5656618337072542e-231,0.7597604259094942,168.51959267250683,0.823196
A good name is better than a foe's smile.,0,0.6640471006217092,0.8101794934841405,84.22867433955066,0.7503624
Never wear your best pants when you go to a donkeys house don't talk about ears.,1,7.542222809124958e-155,0.8886316872427984,122.91437708933394,0.79635566
Roll my log and I will scratch yours.,0,1.4875195904069663e-231,0.8654513888888888,131.7450378605667,0.686289
There is someone rather annoying in your life is sitting across from you.,0,0.6591844162499148,0.7072732300884955,93.48382538646422,0.8969442
A good name is better than no bread.,0,0.631196907822589,0.854119425547997,85.81592385080424,0.7432886
It is in the offing.,0,0.537284965911771,0.625,56.92401904886329,0.76534766
At the end of the month you will be told no lies.,1,9.6212612450095e-155,0.7748538011695907,81.03807188240955,0.80114347
batches has drowned more men than the sword.,1,1.5728604687011317e-231,0.854119425547997,131.7450378605667,0.7731698
When blind leading the out of the mouths of babes and suckling.,0,3.7952184850839114e-78,0.9567901234567902,124.80930174117846,0.7495542
A quiet evening with friends is worth more than a good memory to have good memories.,0,4.1616134595344435e-78,0.7996000000000001,94.47801225105508,0.88889396
